DATE,RSXFS
2019-07-01,453667
2019-08-01,455967
2019-09-01,452048
2019-10-01,453451
2019-11-01,455933
2019-12-01,458923
2020-01-01,456113
2020-02-01,457898
2020-03-01,432392
2020-04-01,375918
2020-05-01,442045
2020-06-01,472249
2020-07-01,481169
2020-08-01,482391
2020-09-01,492700
2020-10-01,490826
2020-11-01,486833
2020-12-01,488876
2021-01-01,513269
2021-02-01,503650
2021-03-01,558369
2021-04-01,555865
2021-05-01,550441
2021-06-01,553044
2021-07-01,541721
2021-08-01,547399
2021-09-01,553696
2021-10-01,562296
2021-11-01,565690
2021-12-01,556810
2022-01-01,576000
2022-02-01,581768
2022-03-01,587570
2022-04-01,590238
2022-05-01,591793
2022-06-01,598145
2022-07-01,595894
