DATE,DSPIC96
2019-07-01,14871.8
2019-08-01,14960.3
2019-09-01,15000.7
2019-10-01,15022.4
2019-11-01,15084.2
2019-12-01,15018.1
2020-01-01,15149.7
2020-02-01,15232.8
2020-03-01,15008.5
2020-04-01,17246.2
2020-05-01,16423.4
2020-06-01,16272.5
2020-07-01,16372.2
2020-08-01,15739.2
2020-09-01,15799.7
2020-10-01,15729.1
2020-11-01,15522.5
2020-12-01,15536.5
2021-01-01,17099.2
2021-02-01,15662.7
2021-03-01,19213.9
2021-04-01,16264.7
2021-05-01,15790.4
2021-06-01,15708.6
2021-07-01,15821.9
2021-08-01,15802.4
2021-09-01,15580.2
2021-10-01,15584.9
2021-11-01,15543.5
2021-12-01,15483.6
2022-01-01,15137.7
2022-02-01,15125.6
2022-03-01,15064.1
2022-04-01,15074.6
2022-05-01,15069.5
2022-06-01,15013.1
2022-07-01,15094.2
